AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia)
1/12/2019,16.5,9.4,90.5,2.6
2/12/2019,16,8.2,86.7,0.0
3/12/2019,17.5,8.2,87.1,0.0
4/12/2019,15.5,7.2,91.4,4.4
5/12/2019,12,9.2,94.7,23.0
6/12/2019,13,8,85.9,0.0
7/12/2019,14.5,5,84.3,0.0
8/12/2019,16.5,6,88.8,0.0
9/12/2019,18.5,4.8,82.9,0.0
10/12/2019,18,7.6,82.2,0.0
11/12/2019,18,7.2,84.9,0.0
12/12/2019,18.5,8.6,79.6,0.0
13/12/2019,17,6.8,79.1,0.0
14/12/2019,16,6,75.5,0.0
15/12/2019,20,8.2,71.4,0.0
16/12/2019,18,6.6,78.4,0.0
17/12/2019,16,7.2,89.8,0.0
18/12/2019,16.5,8.8,93.6,5.5
19/12/2019,16,8.6,92.1,1.9
20/12/2019,14.5,9.2,94.1,0.7
21/12/2019,17.5,9,85.7,0.3
22/12/2019,16.5,9,80.4,2.2
23/12/2019,17.5,9.6,87.1,0.0
24/12/2019,18.5,9.8,79.7,0.0
25/12/2019,19.5,9,81.7,0.0
26/12/2019,18,9.8,84.6,0.0
27/12/2019,17,9.6,85.6,8.9
28/12/2019,16.5,10.4,90.1,1.4
29/12/2019,18.5,9.6,84.4,3.7
30/12/2019,13,9.6,94.7,22.6
31/12/2019,15,8.6,89.5,0.1
