AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día) 
1/6/2019,17,6.6,83.5,0.0
2/6/2019,16.5,6.4,79.3,0.0
3/6/2019,16.5,6.2,87,0.0
4/6/2019,17,8.4,81.7,0.0
5/6/2019,15.5,8,85.6,0.0
6/6/2019,14.5,5.6,84.1,0.0
7/6/2019,16,5.4,84.7,0.0
8/6/2019,16,7.4,77.2,0.0
9/6/2019,14,9,81.7,0.0
10/6/2019,16.5,8.6,87.5,0.0
11/6/2019,15.5,7,83.3,0.0
12/6/2019,15,9.2,81.2,0.0
13/6/2019,17,8.2,80.8,0.0
14/6/2019,16,8.4,77.7,0.0
15/6/2019,18,8.6,83.3,4.8
16/6/2019,16,9.2,86.8,0.2
17/6/2019,15.5,7.8,78,0.0
18/6/2019,16,7.6,80.3,0.0
19/6/2019,17,7.8,66.5,0.0
20/6/2019,14.5,8.4,64.6,0.0
21/6/2019,15.5,7,60.3,0.0
22/6/2019,16.5,6.2,51.6,0.0
23/6/2019,17,6.4,66.7,0.0
24/6/2019,16.5,6.4,79.1,0.0
25/6/2019,17.5,6.2,75,0.0
26/6/2019,15,6.8,71.6,0.0
27/6/2019,15.5,8.8,78.7,0.0
28/6/2019,15,9,80.5,0.0
29/6/2019,16,8.8,90.6,0.4
30/6/2019,15.5,7.4,70.9,0.0
